OTU_id,lineage,kingdom,genus,species
231590,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Gonyaulacales|23|Gonyaulacaceae|Alexandrium_02|tamiyavanichii,Eukaryota,Alexandrium,NA
164870,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|02|Protoperidiniaceae|Protoperidinium_02|divergens,Eukaryota,Protoperidinium,NA
186481,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Calanoida|Acartia|Acartia+longiremis,Eukaryota,Acartia,longiremis
122529,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|46|Blastodiniaceae|Blastodinium_06|sp.,Eukaryota,Blastodinium,NA
656022,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Calanoida|Euchaeta,Eukaryota,Euchaeta,NA
674172,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collozoum|Collozoum+pelagicum,Eukaryota,Collozoum,pelagicum
101842,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Sphaerozoum|Sphaerozoum+punctatum,Eukaryota,Sphaerozoum,punctatum
206106,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|19|Blastodiniaceae|Blastodinium_03|sp.,Eukaryota,Blastodinium,NA
13773,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|02|Protoperidiniaceae|Protoperidinium_02,Eukaryota,Protoperidinium,NA
161396,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Collozoum|Collozoum+serpentinum,Eukaryota,Collozoum,serpentinum
185263,Eukaryota|Rhizaria|Radiolaria|Polycystinea|Collodaria-Nassellarida|Collodaria|Acrosphaera|Acrosphaera+sp.,Eukaryota,Acrosphaera,sp.
46186,Eukaryota|Opisthokonta|Metazoa|Arthropoda|Crustacea|Maxillopoda|Copepoda|Cyclopoida|Corycaeus|Corycaeus+speciosus,Eukaryota,Corycaeus,speciosus
185927,Eukaryota|Alveolata|Dinophyta|Dinophyceae|Peridiniales|02|Protoperidiniaceae|Protoperidinium_02|divergens,Eukaryota,Protoperidinium,NA
