"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"Gaulke_2019-mod_ASV178"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhodoferax"
"Gaulke_2019-mod_ASV179"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"NS11-12_marine_group"	NA
"Gaulke_2019-mod_ASV180"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"
"Gaulke_2019-mod_ASV181"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Rickettsiaceae"	"Rickettsia"
"Gaulke_2019-mod_ASV182"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA
"Gaulke_2019-mod_ASV183"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rubrivivax"
"Gaulke_2019-mod_ASV184"	"Bacteria"	"Firmicutes"	"Bacilli"	"Entomoplasmatales"	"Spiroplasmataceae"	"Spiroplasma"
"Gaulke_2019-mod_ASV185"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotellaceae_UCG-001"
"Gaulke_2019-mod_ASV186"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	NA	NA	NA
"Gaulke_2019-mod_ASV187"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Neisseriaceae"	NA
"Gaulke_2019-mod_ASV188"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"
"Gaulke_2019-mod_ASV189"	"Bacteria"	"Firmicutes"	"Bacilli"	"Mycoplasmatales"	"Mycoplasmataceae"	"Mycoplasma"
"Gaulke_2019-mod_ASV190"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Legionellaceae"	"Legionella"
"Gaulke_2019-mod_ASV191"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Pedobacter"
"Gaulke_2019-mod_ASV192"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Defluviimonas"
"Gaulke_2019-mod_ASV193"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Raineyaceae"	"Raineya"
"Gaulke_2019-mod_ASV194"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	NA
"Gaulke_2019-mod_ASV195"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"
"Gaulke_2019-mod_ASV196"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"
"Gaulke_2019-mod_ASV197"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiales_Incertae_Sedis"	"Phreatobacter"
"Gaulke_2019-mod_ASV198"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales_fa"	"Tepidimicrobium"
"Gaulke_2019-mod_ASV199"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiales_Incertae_Sedis"	NA
"Gaulke_2019-mod_ASV200"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"Gaulke_2019-mod_ASV201"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Lentimicrobiaceae"	NA
"Gaulke_2019-mod_ASV202"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Aliivibrio"
"Gaulke_2019-mod_ASV203"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"
"Gaulke_2019-mod_ASV204"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	NA	NA
"Gaulke_2019-mod_ASV205"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiales_Incertae_Sedis"	"Phreatobacter"
"Gaulke_2019-mod_ASV206"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Gemmobacter"
"Gaulke_2019-mod_ASV207"	"Bacteria"	"Fusobacteriota"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"
"Gaulke_2019-mod_ASV208"	"Bacteria"	"Bdellovibrionota"	"Bdellovibrionia"	"Bdellovibrionales"	"Bdellovibrionaceae"	"Bdellovibrio"
"Gaulke_2019-mod_ASV209"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	NA
"Gaulke_2019-mod_ASV210"	"Bacteria"	"Firmicutes"	"Bacilli"	"Entomoplasmatales"	"Spiroplasmataceae"	"Spiroplasma"
"Gaulke_2019-mod_ASV211"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Williamwhitmaniaceae"	"Acetobacteroides"
"Gaulke_2019-mod_ASV212"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"
"Gaulke_2019-mod_ASV213"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	NA	NA	NA
"Gaulke_2019-mod_ASV214"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"TRA3-20"	NA
"Gaulke_2019-mod_ASV215"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Nocardia"
"Gaulke_2019-mod_ASV216"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	"AAP99"
"Gaulke_2019-mod_ASV217"	"Bacteria"	"Bacteroidota"	"Kapabacteria"	"Kapabacteriales"	NA	NA
"Gaulke_2019-mod_ASV218"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Pseudogracilibacillus"
"Gaulke_2019-mod_ASV219"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"
"Gaulke_2019-mod_ASV220"	"Bacteria"	"Myxococcota"	"Polyangia"	"Polyangiales"	"Phaselicystidaceae"	"Phaselicystis"
"Gaulke_2019-mod_ASV221"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Shewanellaceae"	"Shewanella"
"Gaulke_2019-mod_ASV222"	"Bacteria"	"Bacteroidota"	"Kapabacteria"	"Kapabacteriales"	NA	NA
"Gaulke_2019-mod_ASV223"	"Bacteria"	"Bdellovibrionota"	"Bdellovibrionia"	"Bdellovibrionales"	"Bdellovibrionaceae"	"Bdellovibrio"
"Gaulke_2019-mod_ASV224"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Cerasibacillus"
"Gaulke_2019-mod_ASV225"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Chloroplast"	NA	NA
"Gaulke_2019-mod_ASV226"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	NA
"Gaulke_2019-mod_ASV227"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"
"Gaulke_2019-mod_ASV228"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA
"Gaulke_2019-mod_ASV229"	"Bacteria"	"Deinococcota"	"Deinococci"	"Deinococcales"	"Deinococcaceae"	"Deinococcus"
"Gaulke_2019-mod_ASV230"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA
"Gaulke_2019-mod_ASV231"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Pseudoxanthomonas"
"Gaulke_2019-mod_ASV232"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Sphingobacterium"
"Gaulke_2019-mod_ASV233"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Spirosomaceae"	"Flectobacillus"
"Gaulke_2019-mod_ASV234"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Weissella"
"Gaulke_2019-mod_ASV235"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
"Gaulke_2019-mod_ASV236"	"Bacteria"	"Verrucomicrobiota"	"Chlamydiae"	"Chlamydiales"	"Simkaniaceae"	"Candidatus_Rhabdochlamydia"
"Gaulke_2019-mod_ASV237"	"Bacteria"	"Planctomycetota"	"OM190"	NA	NA	NA
"Gaulke_2019-mod_ASV238"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Leuconostoc"
"Gaulke_2019-mod_ASV239"	"Bacteria"	"Desulfobacterota"	"Desulfovibrionia"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"
"Gaulke_2019-mod_ASV240"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Chromobacteriaceae"	"Crenobacter"
"Gaulke_2019-mod_ASV241"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Chitinimonadaceae"	"Chitinimonas"
"Gaulke_2019-mod_ASV242"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Gaulke_2019-mod_ASV243"	"Bacteria"	"Acidobacteriota"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae"	"Blastocatella"
"Gaulke_2019-mod_ASV244"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	NA
"Gaulke_2019-mod_ASV245"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"
"Gaulke_2019-mod_ASV246"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	"Cyanobacteriales"	"Phormidiaceae"	"Tychonema_CCAP_1459-11B"
"Gaulke_2019-mod_ASV247"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"env.OPS_17"	NA
"Gaulke_2019-mod_ASV248"	"Bacteria"	"Campilobacterota"	"Campylobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Helicobacter"
"Gaulke_2019-mod_ASV249"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Cellvibrionaceae"	"Cellvibrio"
"Gaulke_2019-mod_ASV250"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA
"Gaulke_2019-mod_ASV251"	"Bacteria"	"Fusobacteriota"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"
"Gaulke_2019-mod_ASV252"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Devosiaceae"	"Devosia"
"Gaulke_2019-mod_ASV253"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Legionellaceae"	"Legionella"
"Gaulke_2019-mod_ASV254"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Beijerinckiaceae"	"Microvirga"
"Gaulke_2019-mod_ASV255"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"
"Gaulke_2019-mod_ASV256"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	NA
"Gaulke_2019-mod_ASV257"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"37-13"	NA
"Gaulke_2019-mod_ASV258"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Beijerinckiaceae"	"Bosea"
"Gaulke_2019-mod_ASV259"	"Bacteria"	"Myxococcota"	"Polyangia"	"Polyangiales"	"Polyangiaceae"	"Pajaroellobacter"
"Gaulke_2019-mod_ASV260"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	NA	NA	NA
"Gaulke_2019-mod_ASV261"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cardiobacteriales"	"Wohlfahrtiimonadaceae"	"Ignatzschineria"
"Gaulke_2019-mod_ASV262"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhizobacter"
"Gaulke_2019-mod_ASV263"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiales_Incertae_Sedis"	"Phreatobacter"
"Gaulke_2019-mod_ASV264"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiales_Incertae_Sedis"	NA
"Gaulke_2019-mod_ASV265"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Dysgonomonadaceae"	"Proteiniphilum"
"Gaulke_2019-mod_ASV266"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Marinifilaceae"	"Marinifilum"
"Gaulke_2019-mod_ASV267"	"Bacteria"	"Firmicutes"	"Clostridia"	"Oscillospirales"	"Ruminococcaceae"	NA
"Gaulke_2019-mod_ASV268"	"Bacteria"	"Actinobacteriota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	NA
"Gaulke_2019-mod_ASV269"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Escherichia/Shigella"
"Gaulke_2019-mod_ASV270"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Elsterales"	"Elsteraceae"	"Elstera"
"Gaulke_2019-mod_ASV271"	"Bacteria"	"Firmicutes"	"Bacilli"	"Mycoplasmatales"	"Mycoplasmataceae"	"Candidatus_Bacilloplasma"
"Gaulke_2019-mod_ASV272"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"CM1G08"
"Gaulke_2019-mod_ASV273"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Pedobacter"
"Gaulke_2019-mod_ASV274"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"
"Gaulke_2019-mod_ASV275"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Bradyrhizobium"
"Gaulke_2019-mod_ASV276"	"Bacteria"	"Firmicutes"	"Bacilli"	"Entomoplasmatales"	"Spiroplasmataceae"	"Spiroplasma"
"Gaulke_2019-mod_ASV277"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"
"Gaulke_2019-mod_ASV278"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Reyranellales"	"Reyranellaceae"	"Reyranella"
"Gaulke_2019-mod_ASV279"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales_fa"	"Gallicola"
"Gaulke_2019-mod_ASV280"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingopyxis"
"Gaulke_2019-mod_ASV281"	"Bacteria"	"Fusobacteriota"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Psychrilyobacter"
"Gaulke_2019-mod_ASV282"	"Bacteria"	"Bdellovibrionota"	"Bdellovibrionia"	"Bacteriovoracales"	"Bacteriovoracaceae"	NA
"Gaulke_2019-mod_ASV283"	"Bacteria"	"Verrucomicrobiota"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Rubritaleaceae"	"Luteolibacter"
"Gaulke_2019-mod_ASV284"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"
"Gaulke_2019-mod_ASV285"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Blastomonas"
"Gaulke_2019-mod_ASV286"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	NA
"Gaulke_2019-mod_ASV287"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Savagea"
"Gaulke_2019-mod_ASV288"	"Bacteria"	"Fusobacteriota"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Psychrilyobacter"
"Gaulke_2019-mod_ASV289"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Hydrogenophaga"
"Gaulke_2019-mod_ASV290"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiales_Incertae_Sedis"	NA
"Gaulke_2019-mod_ASV291"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Buchnera"
"Gaulke_2019-mod_ASV292"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Veillonellales-Selenomonadales"	"Sporomusaceae"	"Pelosinus"
"Gaulke_2019-mod_ASV293"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Aurantisolimonas"
"Gaulke_2019-mod_ASV294"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Erwiniaceae"	"Pantoea"
"Gaulke_2019-mod_ASV295"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"
"Gaulke_2019-mod_ASV296"	"Bacteria"	"Myxococcota"	"Polyangia"	"Polyangiales"	"Sandaracinaceae"	NA
"Gaulke_2019-mod_ASV297"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"Gaulke_2019-mod_ASV298"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Acidaminobacteraceae"	"Acidaminobacter"
"Gaulke_2019-mod_ASV299"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Rhodobacter"
"Gaulke_2019-mod_ASV300"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Gemmobacter"
"Gaulke_2019-mod_ASV301"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"env.OPS_17"	NA
"Gaulke_2019-mod_ASV302"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Anoxybacillus"
"Gaulke_2019-mod_ASV303"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Micavibrionales"	NA	NA
"Gaulke_2019-mod_ASV304"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Vagococcaceae"	"Vagococcus"
"Gaulke_2019-mod_ASV305"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"
"Gaulke_2019-mod_ASV306"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Amoebophilaceae"	"Candidatus_Cardinium"
"Gaulke_2019-mod_ASV307"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"env.OPS_17"	NA
"Gaulke_2019-mod_ASV308"	"Bacteria"	"Fusobacteriota"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"
"Gaulke_2019-mod_ASV309"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"
"Gaulke_2019-mod_ASV310"	"Bacteria"	"Cyanobacteria"	"Vampirivibrionia"	"Obscuribacterales"	"Obscuribacteraceae"	NA
"Gaulke_2019-mod_ASV311"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Hydrogenophaga"
"Gaulke_2019-mod_ASV312"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"
"Gaulke_2019-mod_ASV313"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Buchnera"
"Gaulke_2019-mod_ASV314"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingobium"
"Gaulke_2019-mod_ASV315"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"Novispirillum"
"Gaulke_2019-mod_ASV316"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Nitrosomonadaceae"	"IS-44"
"Gaulke_2019-mod_ASV317"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Limnohabitans"
"Gaulke_2019-mod_ASV318"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"env.OPS_17"	NA
"Gaulke_2019-mod_ASV319"	"Bacteria"	"Verrucomicrobiota"	"Chlamydiae"	"Chlamydiales"	"Parachlamydiaceae"	NA
"Gaulke_2019-mod_ASV320"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Cytophagales"	"Microscillaceae"	NA
"Gaulke_2019-mod_ASV321"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"
"Gaulke_2019-mod_ASV322"	"Bacteria"	"Cyanobacteria"	"Vampirivibrionia"	"Obscuribacterales"	"Obscuribacteraceae"	"Candidatus_Obscuribacter"
"Gaulke_2019-mod_ASV323"	"Bacteria"	"Firmicutes"	"Clostridia"	"Peptostreptococcales-Tissierellales"	"Peptostreptococcales-Tissierellales_fa"	"Peptoniphilus"
"Gaulke_2019-mod_ASV324"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Chitinophagales"	NA	NA
"Gaulke_2019-mod_ASV325"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Nubsella"
"Gaulke_2019-mod_ASV326"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Novosphingobium"
"Gaulke_2019-mod_ASV327"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"
"Gaulke_2019-mod_ASV328"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Rhodocyclaceae"	"Methyloversatilis"
"Gaulke_2019-mod_ASV329"	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	NA
"Gaulke_2019-mod_ASV330"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"T34"	NA
"Gaulke_2019-mod_ASV331"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	NA
"Gaulke_2019-mod_ASV332"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Sphingobacteriales"	"NS11-12_marine_group"	NA
"Gaulke_2019-mod_ASV333"	"Bacteria"	"Firmicutes"	"Bacilli"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Erysipelotrichaceae_UCG-009"
"Gaulke_2019-mod_ASV334"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"
"Gaulke_2019-mod_ASV335"	"Bacteria"	"Firmicutes"	"Clostridia"	"Lachnospirales"	"Lachnospiraceae"	"Lachnospiraceae_NK4A136_group"
"Gaulke_2019-mod_ASV336"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Diplorickettsiales"	"Diplorickettsiaceae"	"Aquicella"
"Gaulke_2019-mod_ASV337"	"Bacteria"	"Firmicutes"	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"Staphylococcus"
"Gaulke_2019-mod_ASV338"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"
"Gaulke_2019-mod_ASV339"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Novosphingobium"
"Gaulke_2019-mod_ASV340"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Rickettsiaceae"	"Rickettsia"
"Gaulke_2019-mod_ASV341"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"Gaulke_2019-mod_ASV342"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	NA	NA
"Gaulke_2019-mod_ASV343"	"Bacteria"	"Fusobacteriota"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"
"Gaulke_2019-mod_ASV344"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Chryseobacterium"
"Gaulke_2019-mod_ASV345"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Undibacterium"
"Gaulke_2019-mod_ASV346"	"Bacteria"	"Firmicutes"	"Bacilli"	"Entomoplasmatales"	"Spiroplasmataceae"	"Spiroplasma"
"Gaulke_2019-mod_ASV347"	"Bacteria"	"Firmicutes"	"Bacilli"	"Staphylococcales"	"Staphylococcaceae"	"Macrococcus"
"Gaulke_2019-mod_ASV348"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	NA	NA
"Gaulke_2019-mod_ASV349"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridium_sensu_stricto_1"
"Gaulke_2019-mod_ASV350"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cardiobacteriales"	"Wohlfahrtiimonadaceae"	"Ignatzschineria"
"Gaulke_2019-mod_ASV351"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"
"Gaulke_2019-mod_ASV352"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"
"Gaulke_2019-mod_ASV353"	"Bacteria"	"Bdellovibrionota"	"Bdellovibrionia"	"Bdellovibrionales"	"Bdellovibrionaceae"	"Bdellovibrio"
"Gaulke_2019-mod_ASV354"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA
