"genus_1","genus_2","instability","weight"
"Bacteroides","Plesiomonas",0,0.0594584556969297
"Runella","Aeromonas",0,0.0583689392248526
"Gemmobacter","Aeromonas",0,0.0567037382448442
"Caenimonas","Photobacterium",0,0.0566443196856238
"Paraclostridium","Pseudoduganella",0,0.0563157887286303
"Pseudoduganella","Acinetobacter",0,0.056263675476464
"Haliscomenobacter","A-N-P-R",0,0.0560574067734601
"Lysinibacillus","Phreatobacter",0,0.0539024185118226
"Peptostreptococcus","Luteimonas",0,0.0536560855415926
"Bacteroides","Photobacterium",0,0.0529145541797869
"Gemmobacter","Phreatobacter",0,0.0527621878444841
"Silvanigrella","Photobacterium",0,0.0521896157495573
"Runella","Paraclostridium",0,0.0502000352231058
"Lysinibacillus","Caenimonas",0,0.0496042985665804
"Bosea","Aeromonas",0,0.0494389103072564
"Rheinheimera","Mycoplasma",0,0.0493361588801657
"Peptostreptococcus","Paraclostridium",0,0.0489168300857965
"Chitinimonas","Undibacterium",0,0.0485735304869168
"Silvanigrella","Paracoccus",0,0.0477594454635271
"Bacteroides","Paracoccus",0,0.046908094294079
"Tychonema","Weissella",0,0.046732974139752
"Undibacterium","Acinetobacter",0,0.0448036814672261
"Peptostreptococcus","Phreatobacter",0,0.0445719705621704
"Undibacterium","Pseudomonas",0,0.0435794515056772
"Paracoccus","Mycoplasma",0,0.0435645643821379
"Fusobacterium","Plesiomonas",0,0.0433236478894199
"Peptostreptococcus","Ignatzschineria",0,0.0429627896999831
"Lactobacillus","Tychonema",0,0.0428538517164241
"Tychonema","Runella",0,0.0427472762235207
"Peptostreptococcus","Pseudoduganella",0,0.0426457610694776
"Runella","Plesiomonas",0,0.0418929424819628
"Weissella","Paraclostridium",0,0.0408653943435432
"Lysinibacillus","Paraclostridium",0,0.0402924805707401
"Chitinimonas","Chitinibacter",0,0.0400206658851983
"Defluviimonas","Paucibacter",0,0.0394188463921154
"Acinetobacter","Aeromonas",0,0.0390573217538094
"Bacteroides","Aeromonas",0,0.0389944920207601
"Lysinibacillus","Photobacterium",0,0.0383450167096977
"Rheinheimera","Pseudoduganella",0,0.0378095801700598
"Peptostreptococcus","Rheinheimera",0,0.0373603102347183
"Caenimonas","Shewanella",0,0.036733113401701
"Caenimonas","Chitinimonas",0,0.0365141736034699
"Paracoccus","Plesiomonas",0,0.0360890438243544
"Peptostreptococcus","Yersinia",0,0.0359662202913231
"Gemmobacter","Aurantisolimonas",0,0.0357680014870195
"Lactobacillus","Photobacterium",0,0.0347306719368971
"Silvanigrella","Luteimonas",0,0.0342440746274653
"Defluviimonas","Paraclostridium",0,0.0341474940719901
"Bacteroides","Pseudoduganella",0,0.0331703499964212
"Silvanigrella","Pseudoduganella",0,0.0326221924967808
"Runella","Photobacterium",0,0.0322567529780806
